GameID,Date,Time,Status,SiteName,SubSiteName,BillToName,SportName,LevelName,HomeTeams,AwayTeams,Officials
"9974778","5/21/2023","3:30 PM","Normal","BERLIN SC - FRANKLIN FIELDS","F1","","Soccer","U-15","BERLIN BLITZ EDP/G","BERKS UNITED EDP/G",
"9691773","5/21/2023","12:30 PM","Normal","BORDENTOWN - FRIENDSHIP FIELDS","F1","","Soccer","U-13","BORDENTOWN FC  PANTHERS 2010","MEDFORD SC  MAD DOGS WHITE 2010",
"9690925","5/21/2023","2:00 PM","Normal","BORDENTOWN - FRIENDSHIP FIELDS","S9","","Soccer","U-12","BORDENTOWN FC  JAGUARS 2011","DEPTFORD SA DEPTFORD BLAZE 2011",
"10675070","5/21/2023","12:30 PM","Normal","CAPE EX SOCCER COMPLEX At Ockie Wisting","S9","","Soccer","U-19","HS 7v7 CAPE EXPRESS BREAKERS 2007","HS 7v7 BURLINGTON TWP SOCCER STORM 2007",
"9974746","5/21/2023","9:00 AM","Normal","CHFC - DeCOU","F1- Upper Turf/D7","","Soccer","U-18","CHFC XTREME","DEPTFORD PREMIER EDP/G",
"10675111","5/21/2023","12:30 PM","Normal","CHFC - DeCOU","F1- Upper Turf/D7","","Soccer","U-14","CHFC SURGE EDP/G","JERSEY SHORE BOCA EDP/G",
"9974686","5/21/2023","3:00 PM","Normal","CHFC - DeCOU","F1- Upper Turf/D7","","Soccer","U-11","CHSC MAMBAS EDP/G","LIVERPOOL FC EDP/G",
"9691034","5/21/2023","11:00 AM","Normal","CHFC - DeCOU","S9- Grass 9v9/D5","","Soccer","U-12","CHERRY HILL FC 2011 AVENGERS","UPPER TOWNSHIP SA  TSUNAMIS 2011",
"9974835","5/21/2023","5:00 PM","Normal","CHSC - CH WEST HS","F1","","Soccer","U-14","CHSC GALAXY EDP/B","RUSA EDP/B",
"9974834","5/21/2023","9:00 AM","Normal","CHSC - UPPER CHAPEL TURF","F1","","Soccer","U-16","CHSC GALAXY EDP/B","MONMOUTH EDP/B",
"9711707","5/21/2023","2:30 PM","Normal","COLLINGSWOOD - Paul VI","FR SOCCER","","Soccer","U-9","COLLINGSWOOD TRAVEL SOCCER CLUB OUTLAWS 2014","FRANKLIN TOWNSHIP YOUTH SOCCER ASSOCIATION STORM 2",
"9974706","5/21/2023","4:00 PM","Normal","E GREENWICH - THOMPSON FAMILY PARK","F1","","Soccer","U-15","KINGSWAY PREMIER EDP/G","PRINCETON EDP/G",
"9974734","5/21/2023","6:00 PM","Normal","E GREENWICH - THOMPSON FAMILY PARK","F1","","Soccer","U-13","KINGSWAY PREMIER EDP/B","MORRIS ELITE EDP/B",
"9691410","5/21/2023","11:45 AM","Normal","EGG HARBOR - BARGAINTOWN","S9","","Soccer","U-11","EGG HARBOR TOWNSHIP SC EGG HARBOR SC EAGLES WHITE ","CHERRY HILL SC  BLUE ARMY 2012",
"10675068","5/21/2023","12:00 PM","Normal","EPAA - MEMORIAL","F1","","Soccer","U-19","HS 7v7 EDGEWATER PARK UNITED 2004","HS 7v7 COLLINGSWOOD PANTHERS 2005",
"9692097","5/21/2023","2:00 PM","Normal","HIGHLAND - GLOUCESTER TWP PARK","S9","","Soccer","U-11","HIGHLAND YOUTH SOCCER CLUB FORCE 2012","EGG HARBOR SC EAGLES BLACK 2012",
"9692239","5/21/2023","12:30 PM","Normal","MAINLAND - MEMORIAL PARK","F1","","Soccer","U-13","MAINLAND UNITED SA BOYS UNITED 2010","RANCOCAS VALLEY SC  UNION 2010",
"9691380","5/21/2023","3:30 PM","Normal","MANTUA TWP","S7","","Soccer","U-9","MANTUA TOWNSHIP SA  PREDATORS 2014","CHERRY HILL SC CHERRY HILL SC UNITED 2014",
"9691616","5/21/2023","1:00 PM","Normal","MAPLE SHADE - TURF FIELD","F1","","Soccer","U-8","MAPLE SHADE SC MAPLE SHADE WILD 2015","MOORESTOWN SC VIPERS 2015",
"9692471","5/21/2023","12:30 PM","Normal","MEDFORD - BENDE PARK","F1","","Soccer","U-17","MEDFORD SC  TIGERS 2006/2007","MAINLAND UNITED SA  H.S. BOYS UNITED 2006/2007",
"9690989","5/21/2023","12:00 PM","Normal","MLU-TROTTERS","S7","","Soccer","U-10","MOUNT LAUREL UNITED COMETS 2013","ATLANTIC UNITED SC PREMIER KICKERS B BLUE 2013",
"9692342","5/21/2023","1:15 PM","Normal","MLU-TROTTERS","S7","","Soccer","U-8","MOUNT LAUREL UNITED WOLFPACK 2015","COHANSEY SC  DYNASTY 2015",
"9690919","5/21/2023","12:30 PM","Normal","MONROE TWP - CORKERY LANE","F1","","Soccer","U-14","MONROE TOWNSHIP YS UNITED 2009","PENNS GROVE SC  HEAT 2009",
