GameID,Date,Time,Status,SiteName,SubSiteName,BillToName,SportName,LevelName,HomeTeams,AwayTeams,Officials
"9691487","5/17/2023","6:30 PM","Normal","MARLTON - MEMORIAL","S7","","Soccer","U-8","MARLTON SOCCER CLUB MARLTON SC CHIEFS ORANGE 2015","CHERRY HILL SC CHERRY HILL SC UNION 2015",
"9692279","5/17/2023","6:30 PM","Normal","MOORESTOWN - MEMORIAL FIELDS","S7","","Soccer","U-10","MOORESTOWN SC RAPTORS 2013","RANCOCAS VALLEY SC  RONALDO 2013",
"9691881","5/17/2023","6:30 PM","Normal","WASHINGTON TWP-WASH LAKE PARK","F3","","Soccer","U-14","WASHINGTON TWP SOCCER CLUB GLADIATORS 2009","MOUNT LAUREL UNITED STRIKERS 2009",
"9691918","5/18/2023","6:30 PM","Normal","E GREENWICH - THOMPSON FAMILY PARK","F1","","Soccer","U-12","EAST GREENWICH SA EGSA NITRO 2011","FRANKLIN TOWNSHIP YOUTH SOCCER ASSOCIATION FIRE 20",
"10675107","5/18/2023","6:30 PM","Normal","MARLTON - MEMORIAL","S9","","Soccer","U-11","MARLTON SOCCER CLUB MARLTON SC CHIEFS WHITE 2012","VINELAND SA FURY 2012",
"9690534","5/18/2023","6:30 PM","Normal","MEDFORD STRIKERS - ARK ROAD COMPLEX","S9","","Soccer","U-12","MEDFORD STRIKERS SC MEDFORD STRIKERS 2011 BOYS","MEDFORD SC  RENEGADES 2011",
"9691949","5/18/2023","7:00 PM","Normal","MILLVILLE SOCCER COMPLEX","F1","","Soccer","U-13","MILLVILLE SA MILLVILLE TWISTERS 2010","FRANKLIN TOWNSHIP YOUTH SOCCER ASSOCIATION STORM 2",
"10675106","5/18/2023","7:00 PM","Normal","TBAA-VALLEY BROOK","F1","","Soccer","U-14","TBAA  STORM 2009","MAPLE SHADE SC BLUE FLAMES 2009",
"9691950","5/19/2023","6:00 PM","Normal","CLAYTON - BENTZ","F1","","Soccer","U-13","CLAYTON SA CLIPPERS 2010/2011","PENNSVILLE SOCCER ASSOCIATION EAGLES 2010",
"9692309","5/19/2023","7:00 PM","Normal","E GREENWICH - THOMPSON FAMILY PARK","S7","","Soccer","U-10","EAST GREENWICH SA EGSA DYNAMO 2013","RANCOCAS VALLEY SC  MESSI 2013",
"9690804","5/19/2023","6:30 PM","Normal","HAMMONTON - BOYER FIELD","S7","","Soccer","U-9","HAMMONTON YSA HAMMONTON HEAT 2014","MAINLAND UNITED SA STALLIONS B 2014 ",
"9690908","5/19/2023","6:00 PM","Normal","MARLTON - MEMORIAL","F1","","Soccer","U-14","MARLTON SOCCER CLUB MARLTON SC CHIEFS ORANGE 2009","PENNS GROVE SC  HEAT 2009",
"9692287","5/19/2023","6:30 PM","Normal","MEDFORD - BENDE PARK","S7.2","","Soccer","U-10","MEDFORD SC  UNION 2013","SENECA UNITED SC 2013 TIGERS","Phil Brownridge","Luke D'Ambrosio - 16","Brayden Vallee - 13",
"9690703","5/19/2023","6:30 PM","Normal","UPPER TWP-Old Tuckahoe Road","S1","","Soccer","U-11","UPPER TOWNSHIP SA  FORCE GREEN 2012","MEDFORD SC  DESTROYERS 2012",
"9690723","5/19/2023","7:00 PM","Normal","VOORHEES-Echelon Complex","S7","","Soccer","U-8","VOORHEES SA COBRAS 2015","MONROE TOWNSHIP YS UNITED BOYS 2015",
"9692444","5/20/2023","2:30 PM","Normal","CAPE EX SOCCER COMPLEX At Ockie Wisting","F1","","Soccer","U-13","CAPE EXPRESS CE 2010 BLUE CRUSH","PENNSAUKEN YOUTH SOCCER CLUB HURRICANES 2010",
"9690883","5/20/2023","7:00 PM","Normal","Cohansey - Cumberland County Tech School","Cumberland county Tech School","","Soccer","U-14","COHANSEY SC  STORM 2009","PENNSAUKEN YOUTH SOCCER CLUB STORM 2009",
"9974824","5/20/2023","10:00 AM","Normal","E GREENWICH - THOMPSON FAMILY PARK","F1","","Soccer","U-15","KINGSWAY PREMIER EDP/G","RUSA EDP/G",
"9974775","5/20/2023","5:00 PM","Canceled","MONROE TWP - CORKERY LANE","F1","","Soccer","U-13","MONROE EDP/G","FC DELCO EDP/G",
"9690472","5/20/2023","10:30 AM","Normal","TARKILL-STERLING HS","F2","","Soccer","U-11","TAR-KILL SOCCER CLUB TARKILL BARCELONA","BURLINGTON TOWNSHIP SOCCER KNIGHTHAWKS 2012",
"9690330","5/20/2023","12:00 PM","Normal","WOODSTOWN","F1","","Soccer","U-13","WOODSTOWN SOCCER CLUB WOODSTOWN WARRIORS 2010","AUDUBON SOCCER YOUTH ASSOCIATION UNITED 2010",
"9974778","5/21/2023","3:30 PM","Normal","BERLIN SC - FRANKLIN FIELDS","F1","","Soccer","U-15","BERLIN BLITZ EDP/G","BERKS UNITED EDP/G",
"9691773","5/21/2023","12:30 PM","Normal","BORDENTOWN - FRIENDSHIP FIELDS","F1","","Soccer","U-13","BORDENTOWN FC  PANTHERS 2010","MEDFORD SC  MAD DOGS WHITE 2010",
"9690925","5/21/2023","2:00 PM","Normal","BORDENTOWN - FRIENDSHIP FIELDS","S9","","Soccer","U-12","BORDENTOWN FC  JAGUARS 2011","DEPTFORD SA DEPTFORD BLAZE 2011",
"10675070","5/21/2023","12:30 PM","Normal","CAPE EX SOCCER COMPLEX At Ockie Wisting","S9","","Soccer","U-19","HS 7v7 CAPE EXPRESS BREAKERS 2007","HS 7v7 BURLINGTON TWP SOCCER STORM 2007",
